Destination,Level_A,Level_B,Level_B_Counts,,
Beirut,Sights & Landmarks,Historic Sites ,2,,
Beirut,Sights & Landmarks,Arenas & Stadiums ,1,,
Beirut,Sights & Landmarks,Castles ,1,,
Beirut,Sights & Landmarks,Educational sites ,1,,
Beirut,Water & Amusement Parks,Theme Parks ,2,,
Beirut,Water & Amusement Parks,Water Parks ,2,,
Brisbane,Food & Drink,Food Tours ,8,,
Brisbane,Food & Drink,Brewery Tours ,5,,
Brisbane,Food & Drink,Farmers Markets ,5,,
Brisbane,Food & Drink,Wine Tours & Tastings ,5,,
Brisbane,Food & Drink,Breweries ,3,,
Brisbane,Food & Drink,Wine Bars ,3,,
Brisbane,Food & Drink,Cooking Classes ,2,,
Brisbane,Food & Drink,Other Food & Drink ,2,,
Brisbane,Food & Drink,Coffee & Tea Tours ,1,,
Brisbane,Fun & Games,Game & Entertainment Centers ,19,,
Brisbane,Fun & Games,Sports Complexes ,8,,
Brisbane,Fun & Games,Movie Theaters ,5,,
Brisbane,Fun & Games,Playgrounds ,4,,
Brisbane,Fun & Games,Room Escape Games ,4,,
Brisbane,Fun & Games,Other Fun & Games ,3,,
Brisbane,Fun & Games,Paint & Pottery Studios ,3,,
Brisbane,Fun & Games,Comedy Clubs ,2,,
Brisbane,Fun & Games,Horse Tracks ,2,,
Brisbane,Nature & Parks,Parks ,18,,
Brisbane,Nature & Parks,Nature & Wildlife Areas ,15,,
Brisbane,Nature & Parks,Bodies of Water ,4,,
Brisbane,Nature & Parks,Gardens ,4,,
Brisbane,Nature & Parks,Hiking Trails ,4,,
Brisbane,Nature & Parks,National Parks ,4,,
Brisbane,Nature & Parks,Playgrounds ,4,,
Brisbane,Nature & Parks,Beaches ,2,,
Brisbane,Nature & Parks,Biking Trails ,2,,
Brisbane,Tours,Sightseeing Tours ,14,,
Brisbane,Tours,Boat Tours ,12,,
Brisbane,Tours,City Tours ,11,,
Brisbane,Tours,Scuba & Snorkeling ,10,,
Brisbane,Tours,Private Tours ,9,,
Brisbane,Tours,Food Tours ,8,,
Brisbane,Tours,Nature & Wildlife Tours ,8,,
Brisbane,Tours,Walking Tours ,8,,
Brisbane,Tours,Historical & Heritage Tours ,6,,
Brisbane,Museums,Specialty Museums ,13,,
Brisbane,Museums,History Museums ,7,,
Brisbane,Museums,Art Galleries ,5,,
Brisbane,Museums,Art Museums ,5,,
Brisbane,Museums,Science Museums ,2,,
Brisbane,Museums,Children's Museums ,1,,
Brisbane,Museums,Military Museums ,1,,
Brisbane,Museums,Natural History Museums ,1,,
Brisbane,Museums,Observatories & Planetariums ,1,,
Brisbane,Zoos & Aquariums,Zoos ,2,,
Brisbane,Zoos & Aquariums,Other Zoos & Aquariums ,1,,
Brisbane,Outdoor Activities,Boat Tours ,12,,
Brisbane,Outdoor Activities,Scuba & Snorkeling ,10,,
Brisbane,Outdoor Activities,Golf Courses ,9,,
